Player;Age;Tm;TS%;FTr;TRB%;AST%;STL%
Randy Woods;24;LAC;0,464;0,325;5,2;39;4,2
Greg Dreiling;32;CLE;0,458;0,402;15;7,5;0,7
Tree Rollins;39;ORL;0,548;0,738;11,4;2,3;0,7
Alaa Abdelnaby;26;SAC;0,54;0,159;13;5,3;1,6
Gary Grant;29;LAC;0,539;0,331;4,4;32,8;3,1
Cliff Levingston;34;DEN;0,431;0,346;15,8;8,7;1,5
Kevin Edwards;29;NJN;0,568;0,273;4,3;9,8;2,1
LaSalle Thompson;33;IND;0,448;0,136;11,9;6,2;2,1
Tim Perry;29;PHI;0,397;0,513;11,6;3,9;1,2
Michael Adams;32;CHH;0,583;0,203;3,9;34,6;2,7
Eric Riley;24;LAC;0,511;0,441;15,2;4,1;2
Bill Cartwright;37;SEA;0,434;0,348;12;3;0,7
Darrin Hancock;23;CHH;0,554;0,322;7,4;11,6;2,4
Kenny Gattison;30;CHH;0,51;0,51;10,9;6,3;0,9
Morlon Wiley;28;DAL;0,563;0,09;5,2;24,4;2,6
John Williams;28;IND;0,397;0,217;9,3;10,3;1,3
Dwayne Morton;23;GSW;0,502;0,659;8,1;6,7;1,4
Steve Henson;26;POR;0,613;0,291;3,9;31,1;1,2
Tim Legler;28;GSW;0,677;0,296;6;11,3;1,6
Matt Fish;25;LAC;0,516;0,359;13,4;7,2;2,2
Elmore Spencer;25;LAC;0,471;0,424;10,4;10,8;1,9
Larry Stewart;26;WSB;0,499;0,337;11,2;7,6;2,3
Tim Breaux;24;HOU;0,449;0,405;5,7;6,6;1,6
Ivano Newbill;24;DET;0,366;0,489;14,3;7,1;1,9
Trevor Ruffin;24;PHO;0,545;0,193;4,1;25,8;2,2
Michael Smith;29;LAC;0,52;0,224;10,3;11;1
Dwayne Schintzius;26;NJN;0,39;0,102;13,9;7,7;0,5
Tracy Murray;23;POR;0,506;0,222;6,7;7,3;1,1
Greg Foster;26;CHI;0,522;0,36;10,7;8;0,3
Ennis Whatley;32;ATL;0,522;0,604;6;27,6;3,5
Larry Krystkowiak;30;CHI;0,487;0,417;12,1;12,8;1,6
John Battle;32;CLE;0,462;0,228;2,5;24,6;1,6
Corey Gaines;29;PHI;0,492;0,216;3,7;17,9;1,5
James Edwards;39;POR;0,414;0,205;9,1;4,3;1
Kenny Walker;30;WSB;0,525;0,667;10,2;3,6;1
Byron Houston;25;SEA;0,533;0,355;12,7;3,6;2,5
Jaren Jackson;27;PHI;0,446;0,353;9,5;11,4;1,8
Brooks Thompson;24;ORL;0,486;0,105;5,3;25,5;2,1
Walter Bond;25;UTA;0,614;0,222;7,1;10,6;1,1
Charles Shackleford;28;MIN;0,637;0,308;17,2;6,2;1,8
Reggie Slater;24;DEN;0,57;0,679;14,5;8,4;1,6
Tom Gugliotta;25;WSB;0,492;0,398;13,5;12,2;4,7
Fred Roberts;34;CLE;0,479;0,361;9,5;6,3;1,5
Mike Brown;31;MIN;0,337;0,675;13;7,1;1,7
Doug Edwards;24;ATL;0,54;0,667;13,2;9,5;1,3
Acie Earl;24;BOS;0,409;0,426;12,5;1,4;1,5
Tracy Murray;23;HOU;0,527;0,1;6,2;3,8;1,8
Kurt Rambis;36;LAL;0,546;0,343;9,6;11,2;0,8
Jim Les;31;ATL;0,501;0,711;8,1;33,8;1,1
Scott Brooks;29;HOU;0,647;0,323;4;19,3;2,2
Zan Tabak;24;HOU;0,518;0,83;18;3,3;0,6
Chris Whitney;23;SAS;0,405;0,234;4,1;21,2;1,1
Richard Dumas;25;PHO;0,512;0,219;10;6,7;3
Andres Guibert;26;MIN;0,406;0,404;16,5;9,8;2,5
Kevin Pritchard;27;MIA;0,589;0,586;4,1;20,5;0,7
Jerome Harmon;25;PHI;0,413;0,113;8,5;12,4;3
Greg Grant;28;DEN;0,405;0,364;3,6;40,2;2,1
Jay Humphries;32;UTA;0,2;0;4,2;7,6;2,4
Moses Malone;39;SAS;0,499;0,914;17,5;5,5;0,7
Henry Turner;28;SAC;0,47;0,614;11;7,7;2,8
Trevor Wilson;26;SAC;0,509;0,35;10,3;12,8;1,4
Askia Jones;23;MIN;0,441;0,364;4,9;19,3;2,3
Jo Jo English;24;CHI;0,481;0,333;1,4;8;2,9
Jack Haley;31;SAS;0,486;0,525;13,1;2,9;1,3
Steve Scheffler;27;SEA;0,631;0,783;13,4;5,5;1
Alphonso Ford;23;PHI;0,238;0,051;11,9;14,1;0,5
Kevin Willis;32;ATL;0,441;0,366;23,6;5,9;0,6
Julius Nwosu;23;SAS;0,437;0,607;16,2;5;0
Randolph Keys;28;LAL;0,372;0,077;11,3;3,4;0,6
Dontonio Wingfield;20;SEA;0,415;0,196;22;6;3,1
Manute Bol;32;GSW;0,75;0;8,2;0;0
Doug Christie;24;NYK;0,31;0,227;9,7;14,6;1,3
Danny Young;32;MIL;0,688;0,059;3,9;24,2;2,7
Doug Lee;30;SAC;0,628;0,84;3,9;10,4;4,2
Sergei Bazarevich;29;ATL;0,578;0,409;5,5;31,4;0,7
Aaron Williams;23;MIL;0,41;0,5;15,9;0;1,4
Lloyd Daniels;27;PHI;0,412;0,074;6,5;10,6;1,7
Grant Long;28;MIA;0,488;0,833;10,4;9;1,7
Steve Smith;25;MIA;0,53;0,759;5,7;18,3;1,7
Greg Kite;33;IND;0,217;0,714;17,8;2,3;0
James Blackwell;26;BOS;0,618;0,3;7,6;14;2,5
LaPhonso Ellis;24;DEN;0,434;0,24;17,6;11,1;0,9
Tom Tolbert;29;CHH;0,371;0,111;17,6;5,3;0
Howard Eisley;22;SAS;0,206;0;6,1;42,2;0
Antonio Lang;22;PHO;0,468;0,4;4,3;2,4;0
Jay Humphries;32;BOS;0,465;0,444;3,3;26,5;2
Aaron Swinson;24;PHO;0,594;0,278;9;9;1
Walter Bond;25;DET;0,363;0,333;5,7;19,2;1
Doc Rivers;33;NYK;0,533;0,846;11,2;25,4;4,5
Tony Bennett;25;CHH;0,538;0;2,6;13,6;0
Rod Higgins;35;GSW;0,363;0,333;8,4;8,8;1,1
Charlie Ward;24;NYK;0,342;0,526;8;13,7;2,4
Negele Knight;27;POR;0,537;0,267;3,9;39,1;1,2
Brian Oliver;26;WSB;0,559;0,889;5,5;13,5;0
Mark Randall;27;DEN;0,3;0;18,4;3,7;0
Charles Jones;37;HOU;0,387;0,667;11,2;0;0
Kevin Pritchard;27;PHI;0,105;1,333;1,6;41;0
Adrian Caldwell;28;HOU;0,377;1,5;19,1;0;1,7
Alaa Abdelnaby;26;PHI;0,091;0;15,5;0;0
Corey Crowder;25;SAS;0,237;0,6;5,9;4,6;1,7
Gerald Madkins;25;CLE;0,515;0,667;0;5,8;4
Micheal Williams;28;MIN;0,484;1,25;2,2;16;3,8
Fred Vinson;24;ATL;0,269;0,143;0;5,2;0
Mike Peplowski;24;DET;0,935;0,4;8,4;8,9;2,5
James Blackwell;26;CHH;0,667;0;9,3;39,6;2,8
Elmer Bennett;24;CLE;0,588;0,364;3,5;46,5;12,6
Tony Harris;27;BOS;0,585;1,125;0;0;0
Morlon Wiley;28;ATL;0,583;0;13,7;61,3;3,1
Greg Kite;33;NYK;0;0;14,7;0;0
Bob Martin;25;LAC;0,2;0;8,4;10,2;0
Eldridge Recasner;27;DEN;0,387;0,667;9,2;11;12,1
Tony Dawson;27;BOS;0,474;0,125;13,3;13,5;0
Mark Strickland;24;IND;0,387;0,667;26,9;0;0
Darrell Armstrong;26;ORL;0,563;0,25;7,2;76,1;6,3
Ron Grandison;30;NYK;0,25;0;36,7;39,7;0
Darnell Mee;23;DEN;0,3;0;7,5;38,4;6,6
Tate George;26;MIL;0,515;0,667;7,5;0;0
Keith Tower;24;ORL;0,174;1;24,5;0;0
Geert Hammink;25;ORL;0,515;0,667;16,3;19,7;0
Rich King;25;SEA;0;1;0;0;0
Lester Conner;35;LAL;1,136;;0;0;10,1
Derrick Phelps;22;SAC;0;2;0;26,3;0
Tom Hovasse;28;ATL;0;0;0;0;13,4
Yinka Dare;22;NJN;0;0;18,2;0;0
Anthony Mason;29;NYK;0,61;0,519;13,1;16,7;1,1
Vin Baker;24;MIL;0,527;0,335;14,9;11,4;1,1
Juwan Howard;22;WSB;0,53;0,284;11,8;18,7;1
Larry Johnson;26;CHH;0,563;0,46;12,7;18;0,9
Grant Hill;23;DET;0,537;0,529;14,5;31,4;1,7
Glenn Robinson;23;MIL;0,534;0,281;9,5;15,7;1,6
Michael Finley;22;PHO;0,551;0,331;6,7;13,9;1,4
Gary Payton;27;SEA;0,554;0,24;6,3;33,3;3,7
Glen Rice;28;CHH;0,584;0,294;7,3;12,6;1,5
Karl Malone;32;UTA;0,575;0,466;15,8;20,6;2,4
Clarence Weatherspoon;25;PHI;0,541;0,42;14;9,3;1,9
Michael Jordan;32;CHI;0,582;0,355;10,2;21,2;3,1
Avery Johnson;30;SAS;0,534;0,295;3,7;39,1;2
Allan Houston;24;DET;0,576;0,291;5,9;15,5;1,1
Latrell Sprewell;25;GSW;0,527;0,371;7,1;17,7;2,1
Chris Mills;26;CLE;0,554;0,271;9,6;11,2;1,4
Dennis Scott;27;ORL;0,589;0,199;5,9;12,4;1,5
Jason Kidd;22;DAL;0,468;0,256;9,6;41,5;2,9
David Robinson;30;SAS;0,589;0,597;18,4;14,6;1,9
Anfernee Hardaway;24;ORL;0,605;0,477;6,8;32,2;2,9
Grant Long;29;ATL;0,546;0,402;15,5;9,7;1,9
Clifford Robinson;29;POR;0,532;0,415;8,5;10,9;1,5
Loy Vaught;27;LAC;0,551;0,189;16,4;6,3;1,5
Mitch Richmond;30;SAC;0,591;0,359;5,3;15,9;2,2
P,J, Brown;26;NJN;0,5;0,332;10,5;9,3;1,4
John Stockton;33;UTA;0,642;0,345;4,8;49,1;2,6
Sean Elliott;27;SAS;0,585;0,375;7,6;11,8;1,2
Mookie Blaylock;28;ATL;0,529;0,151;6,8;27,6;3,9
Derek Harper;34;NYK;0,558;0,219;4,1;20,1;2,4
Damon Stoudamire;22;TOR;0,528;0,262;5,8;37,4;1,8
Armen Gilliam;31;NJN;0,522;0,288;13,7;9,4;1,3
Steve Smith;26;ATL;0,551;0,337;6,7;13,4;1,3
George McCloud;28;DAL;0,543;0,175;7;12,5;2
Otis Thorpe;33;DET;0,573;0,424;14,6;10,1;1
Tom Gugliotta;26;MIN;0,54;0,373;14,6;14,4;2,5
Scottie Pippen;30;CHI;0,551;0,266;10,2;25,2;2,5
Hersey Hawkins;29;SEA;0,603;0,304;6,2;12,5;2,7
Joe Smith;20;GSW;0,523;0,383;14,6;4,6;1,5
Jim Jackson;25;DAL;0,538;0,32;7,6;14,3;0,8
Bryant Stith;25;DEN;0,519;0,416;8,2;13,8;2,1
Hakeem Olajuwon;33;HOU;0,558;0,367;15,9;18,3;2,1
Patrick Ewing;33;NYK;0,516;0,317;17,1;11,2;1,3
Blue Edwards;30;VAN;0,498;0,218;7,3;13,8;2,2
Vinny Del Negro;29;SAS;0,564;0,222;5,5;18,3;1,6
Nick Anderson;28;ORL;0,562;0,265;8,9;15,6;2,3
Dikembe Mutombo;29;DEN;0,562;0,622;18,6;6,1;0,7
Jerry Stackhouse;21;PHI;0,525;0,475;5,7;19;1,5
Elden Campbell;27;LAL;0,549;0,393;13,4;10,3;1,7
Johnny Newman;32;MIL;0,592;0,357;4,6;8,8;1,8
Danny Ferry;29;CLE;0,557;0,146;7,7;13,2;1,2
Alonzo Mourning;25;MIA;0,584;0,662;15,9;11,4;1,4
Mark Jackson;30;IND;0,568;0,305;7,3;37,4;2
Robert Horry;25;HOU;0,537;0,195;8,9;16,1;2,3
Charles Barkley;32;PHO;0,585;0,488;18,1;17,4;2,2
Michael Cage;34;CLE;0,561;0,232;18,4;3,3;1,9
Shawn Kemp;26;SEA;0,631;0,709;20,3;11,5;1,8
Cedric Ceballos;26;LAL;0,599;0,34;11,9;7,9;1,9
Dale Ellis;35;DEN;0,58;0,187;6,9;9,1;1,1
Reggie Miller;30;IND;0,625;0,467;5,1;17,2;1,6
Dale Davis;26;IND;0,553;0,482;16,9;4,6;1,2
Wesley Person;24;PHO;0,543;0,219;7,1;8,2;1,1
Isaiah Rider;24;MIN;0,55;0,245;7,1;15,3;0,9
Rick Fox;26;BOS;0,547;0,274;9,7;22,6;2,2
Jeff Hornacek;32;UTA;0,619;0,33;5;21,2;2,2
Terrell Brandon;25;CLE;0,573;0,348;6,4;38,1;3
Bobby Phills;26;CLE;0,564;0,291;6,9;19,7;2,4
Rod Strickland;29;POR;0,519;0,413;6,7;43,4;2
Oliver Miller;25;TOR;0,55;0,278;13,3;14,2;2,2
Nick Van Exel;24;LAL;0,528;0,215;4,2;30,7;1,4
John Starks;30;NYK;0,555;0,206;5,6;20,8;2,2
Tyus Edney;22;SAC;0,505;0,341;4,7;31,5;1,8
Alvin Robertson;33;TOR;0,531;0,26;8,2;19,7;3,5
Vlade Divac;27;LAL;0,544;0,366;16;16,3;1,6
Vernon Maxwell;30;PHI;0,508;0,316;5,4;24,7;2
Bryant Reeves;22;VAN;0,506;0,341;13,6;8,3;0,9
Tracy Murray;24;TOR;0,557;0,201;8,5;9,3;1,8
Olden Polynice;31;SAC;0,543;0,248;18,1;4,1;1,1
Derrick McKey;29;IND;0,543;0,31;9,2;17,5;1,8
Chris Childs;28;NJN;0,549;0,391;5,6;38,6;2,4
Brian Grant;23;SAC;0,56;0,425;13,2;9,2;0,9
Harvey Grant;30;POR;0,487;0,162;8,6;7,3;1,3
Dell Curry;31;CHH;0,568;0,176;6,8;12,5;2,4
Dan Majerle;30;CLE;0,53;0,226;8,6;15,9;2
Matt Geiger;26;CHH;0,573;0,308;16,8;4,1;1
Dana Barros;28;BOS;0,596;0,182;4,6;20,8;1,2
Calbert Cheaney;24;WSB;0,528;0,236;6,1;10,6;1,5
Popeye Jones;25;DAL;0,486;0,181;16,6;8,8;1,2
Stacey Augmon;27;ATL;0,556;0,43;7,8;10;2,5
Kevin Garnett;19;MIN;0,522;0,203;13,1;10,6;1,9
Horace Grant;30;ORL;0,551;0,306;14,8;11,4;1,4
Antonio McDyess;21;DEN;0,516;0,276;14,5;5,8;1,2
B,J, Armstrong;28;GSW;0,595;0,384;4,7;28,4;1,5
Aaron McKie;23;POR;0,534;0,276;7,7;14,6;2,1
Gheorghe Muresan;24;WSB;0,6;0,348;19,1;4,2;1,2
Detlef Schrempf;33;SEA;0,598;0,5;8,8;20,6;1,3
Joe Dumars;32;DET;0,579;0,329;3,8;20,4;1,1
Eddie Jones;24;LAL;0,583;0,269;6,2;17;3,1
Sam Perkins;34;SEA;0,537;0,302;10;8,9;2
Bison Dele;26;LAC;0,582;0,349;13,7;9,4;1,7
Sam Mitchell;32;MIN;0,566;0,471;9,5;5,7;1,2
Lindsey Hunter;25;DET;0,499;0,191;5,5;14,7;2,2
Jalen Rose;23;DEN;0,553;0,459;7;37,4;1,3
Chuck Person;31;SAS;0,581;0,148;10,8;7,2;1,2
A,C, Green;32;PHO;0,558;0,534;15,2;4,9;1,1
David Wesley;25;BOS;0,585;0,391;7;29,2;2,4
Toni Kukoc;27;CHI;0,589;0,339;8,9;21;1,6
Sherman Douglas;29;MIL;0,583;0,298;4,6;30,4;1,5
Greg Anthony;28;VAN;0,53;0,38;4,9;41,9;2,9
Antonio Davis;27;IND;0,567;0,716;15;3,2;0,8
Dennis Rodman;34;CHI;0,501;0,349;26,6;10;0,9
Terry Porter;32;MIN;0,552;0,344;6,1;35,1;2,2
Brent Price;27;WSB;0,655;0,358;6,6;29,7;2
Mahmoud Abdul-Rauf;26;DEN;0,535;0,164;3,9;34,7;1,6
Chucky Brown;27;HOU;0,568;0,27;12,4;7;1,2
Terry Dehere;24;LAC;0,612;0,477;4,3;27,3;1,4
Pooh Richardson;29;LAC;0,517;0,158;4,7;25,9;2
Kevin Johnson;29;PHO;0,617;0,591;6,4;41,5;2,1
Clyde Drexler;33;HOU;0,551;0,442;10,6;24,7;2,7
Shawn Bradley;23;NJN;0,48;0,285;14,7;5;1,1
Dino Radja;28;BOS;0,536;0,323;14,7;7,2;1,2
David Benoit;27;UTA;0,524;0,193;12;6,3;1,2
Rodney Rogers;24;LAC;0,537;0,281;8,8;13,5;2
Shaquille O'Neal;23;ORL;0,57;0,495;17,8;15,9;0,9
Chris King;26;VAN;0,492;0,232;8,7;9,5;1,9
Chris Dudley;30;POR;0,473;0,439;21,3;2,8;1,1
Steve Kerr;30;CHI;0,663;0,174;3,3;14,1;1,7
Rik Smits;29;IND;0,569;0,328;14,2;11,4;0,6
Brent Barry;24;LAC;0,609;0,229;5,3;18,8;2,6
Keith Askins;28;MIA;0,55;0,146;9,9;9,8;1,3
Byron Scott;34;VAN;0,523;0,359;5,9;11,7;1,8
Ron Harper;32;CHI;0,528;0,277;6,6;15,5;2,9
Bimbo Coles;27;MIA;0,523;0,309;6,2;25,7;1,8
Rex Chapman;28;MIA;0,539;0,166;4,5;15,4;1,3
Jayson Williams;27;NJN;0,462;0,412;23,8;4,4;1
Lamond Murray;22;LAC;0,513;0,23;8,1;7,1;1,7
Andrew Lang;29;ATL;0,49;0,191;10,9;5,7;1
Rony Seikaly;30;GSW;0,561;0,496;15,8;6,4;1,1
Lorenzo Williams;26;DAL;0,404;0,327;15,1;6,4;1,3
Rasheed Wallace;21;WSB;0,53;0,212;10;7,3;1,2
Terry Cummings;34;MIL;0,493;0,274;15,3;8,1;1,7
Tim Legler;29;WSB;0,688;0,333;4,6;11,3;1,3
Charles Oakley;32;NYK;0,559;0,469;15,3;12,1;1,7
Hubert Davis;25;NYK;0,633;0,228;4,1;9,6;0,9
Greg Minor;24;BOS;0,535;0,203;8,2;13,5;1
Craig Ehlo;34;ATL;0,526;0,174;8,6;12,8;2,6
Vern Fleming;33;NJN;0,49;0,338;5,4;24,6;1,2
Arvydas Sabonis;31;POR;0,617;0,422;19,3;13,8;1,9
Vincent Askew;29;SEA;0,574;0,369;7,5;14,6;1,4
Adam Keefe;25;UTA;0,574;0,581;16,3;5,5;1,6
Lee Mayberry;25;MIL;0,536;0,187;3,2;26,1;2
Sedale Threatt;34;LAL;0,535;0,135;3,3;23,7;2,1
Sam Cassell;26;HOU;0,565;0,433;6,3;27,3;1,6
Brian Shaw;29;ORL;0,463;0,235;7,8;28,7;1,8
Buck Williams;35;POR;0,548;0,487;13,8;3,8;1,2
Elliot Perry;26;PHO;0,549;0,353;4,7;33,3;2,7
Terry Mills;28;DET;0,517;0,233;12,9;11;1,4
Kurt Thomas;23;MIA;0,533;0,325;15,5;4,9;1,5
Hot Rod Williams;33;PHO;0,501;0,327;13;5,5;1,4
Luc Longley;27;CHI;0,515;0,205;11,3;10,6;0,7
Doug West;28;MIN;0,509;0,366;5,9;11,3;0,9
Todd Day;26;BOS;0,493;0,35;6,9;10;2,3
James Robinson;25;POR;0,512;0,235;5,5;14,7;1,1
Jerome Kersey;33;GSW;0,452;0,294;12,9;10,9;2,9
Chris Mullin;32;GSW;0,602;0,297;5,7;19,8;2,4
Kenny Smith;30;HOU;0,568;0,228;3,4;23,2;1,5
Derrick Alston;23;PHI;0,518;0,289;10,8;6,5;1,8
Anthony Peeler;26;LAL;0,555;0,143;5;11,3;1,9
Malik Sealy;25;LAC;0,484;0,281;9;11,6;2,7
Dee Brown;27;BOS;0,507;0,256;4,8;14,3;2,5
Mark Bryant;30;HOU;0,583;0,397;12,5;5,2;1
Anthony Avent;26;VAN;0,415;0,165;13,1;7,4;1
Willie Anderson;29;TOR;0,518;0,25;7,1;15,1;1,9
Trevor Ruffin;25;PHI;0,534;0,281;4,9;32,2;1,4
Antoine Carr;34;UTA;0,506;0,282;8;7,6;1
Ervin Johnson;28;SEA;0,547;0,361;16,8;4,8;1,3
Christian Laettner;26;MIN;0,566;0,457;11,9;15;1,4
Benoit Benjamin;31;MIL;0,558;0,322;17,9;5,2;1,2
Tim Hardaway;29;GSW;0,536;0,3;5,1;40,2;2,6
Eric Murdock;27;VAN;0,505;0,251;6,1;36;4,6
Eric Williams;23;BOS;0,506;0,546;8,3;7,6;1,9
Eric Montross;24;BOS;0,546;0,384;13,8;4,6;0,7
Pervis Ellison;28;BOS;0,527;0,397;17,7;6,3;1,4
Chris Morris;30;UTA;0,522;0,21;9,9;8,9;2,4
Alan Henderson;23;ATL;0,482;0,461;14,9;5,8;1,7
Ricky Pierce;36;IND;0,542;0,347;6;12,7;2,2
Will Perdue;30;SAS;0,535;0,378;19,3;3,5;1
Billy Owens;26;MIA;0,536;0,374;12;17,2;1,1
Mario Elie;32;HOU;0,612;0,322;6,3;15,4;1,7
Michael Smith;23;SAC;0,565;0,744;16,3;12,3;1,7
Walt Williams;25;SAC;0,534;0,319;8,7;20,5;2
Kevin Willis;33;MIA;0,513;0,303;18;4,2;0,7
Zan Tabak;25;TOR;0,554;0,275;14,3;7,6;0,9
Theo Ratliff;22;DET;0,603;0,522;13,8;1,6;0,7
Kenny Anderson;25;CHH;0,555;0,33;4,8;40,4;2,4
Jon Koncak;32;ORL;0,507;0,326;12,3;5,3;1,1
Tony Dumas;23;DAL;0,505;0,392;4,7;13,5;1,6
Eldridge Recasner;28;HOU;0,562;0,184;6,4;20,2;0,9
LaPhonso Ellis;25;DEN;0,474;0,343;14,7;9,6;1,5
Felton Spencer;28;UTA;0,57;0,537;14,8;1,3;0,8
Loren Meyer;23;DAL;0,484;0,309;13,2;6,7;0,8
Kendall Gill;27;CHH;0,548;0,315;9,1;27,8;1,7
Nate McMillan;31;SEA;0,537;0,172;9,8;22,5;3,9
Ed O'Bannon;23;NJN;0,446;0,27;7,4;8,4;1,9
Ledell Eackles;29;WSB;0,553;0,313;7;10,2;1,2
Doc Rivers;34;SAS;0,489;0,221;6,2;14,1;3
Gary Trent;21;POR;0,527;0,329;11,1;7;1,1
Jim McIlvaine;23;WSB;0,476;0,724;11,3;1,2;0,9
Haywoode Workman;30;IND;0,479;0,282;6,7;27,4;3
Wayman Tisdale;31;PHO;0,534;0,264;10,8;9,2;0,7
Bob Sura;22;CLE;0,5;0,392;7,8;35,7;2,8
Sharone Wright;23;PHI;0,518;0,484;15,2;4,3;1,1
Don MacLean;26;DEN;0,493;0,362;10,7;14,7;1
Ashraf Amaya;24;VAN;0,534;0,591;16,1;5,1;1,1
Robert Parish;42;CHH;0,533;0,295;16,9;4;1
Robert Pack;26;WSB;0,534;0,41;7,2;35,3;2,9
Anthony Bowie;32;ORL;0,527;0,169;6,6;14,2;1,6
Bill Wennington;32;CHI;0,519;0,125;9,5;6,4;1
Bobby Hurley;24;SAC;0,411;0,37;4,1;29,5;1,4
Tim Hardaway;29;MIA;0,548;0,319;5,5;46,4;2,9
Joe Wolf;31;ORL;0,53;0,111;10,3;8,9;0,6
Tom Hammonds;28;DEN;0,537;0,429;12,3;3,5;1,1
Duane Causwell;27;SAC;0,484;0,444;13,7;2,9;1,3
Carlos Rogers;24;TOR;0,536;0,378;9,7;5,5;1,2
Kenny Anderson;25;NJN;0,511;0,495;5,3;40,4;2,6
Sarunas Marciulionis;31;SAC;0,599;0,514;4,3;19,5;2,6
Kevin Gamble;30;MIA;0,486;0,128;4,8;12,8;1,6
Ed Pinckney;32;TOR;0,57;0,532;16,3;7,3;1,5
Lucious Harris;25;DAL;0,553;0,219;6,3;12,9;1,7
George Lynch;25;LAL;0,474;0,294;12;7,2;2,4
Kevin Edwards;30;NJN;0,461;0,215;4,1;12,1;2,8
Eddie Johnson;36;IND;0,505;0,181;9,5;12;1,1
Don Reid;22;DET;0,595;0,412;12,3;1,8;2,6
Frank Brickowski;36;SEA;0,585;0,341;9;9,1;1,3
Bo Outlaw;24;LAC;0,556;0,871;12,2;7,4;2,3
Christian Laettner;26;ATL;0,556;0,4;14,3;11,7;1,7
Donald Royal;29;ORL;0,585;0,759;9,3;6,3;1,6
Howard Eisley;23;UTA;0,52;0,318;5;22,3;1,6
Marty Conlon;28;MIL;0,526;0,336;11,3;11,7;1,1
Magic Johnson;36;LAL;0,612;0,684;11,1;34,1;1,4
Donyell Marshall;22;GSW;0,488;0,264;13,1;8,2;1,2
Tyrone Corbin;33;SAC;0,521;0,355;11,1;10,5;2,6
Tyrone Hill;27;CLE;0,544;0,531;17,5;6,4;1,9
Sean Higgins;27;PHI;0,517;0,115;5,8;10,7;1,4
Sean Rooks;26;MIN;0,557;0,7;13,5;6,7;1,1
Charles Smith;30;NYK;0,446;0,35;10,6;5,2;1,1
George Zidek;22;CHH;0,486;0,375;12,5;2,7;0,5
Cherokee Parks;23;DAL;0,456;0,251;13;5;1,4
Jimmy King;22;TOR;0,483;0,302;7,6;15,6;1,2
Sam Mack;25;HOU;0,545;0,16;6,4;14,3;1,3
Chris Gatling;28;GSW;0,582;0,429;16,2;5,2;1,1
Mitchell Butler;25;WSB;0,446;0,362;8,1;11,1;2,4
Shawn Respert;23;MIL;0,488;0,144;5,4;12,7;2
Darrin Hancock;24;CHH;0,553;0,341;7,1;8,7;1,8
Charles Smith;30;SAS;0,493;0,211;13,6;6,8;2
Doug Christie;25;TOR;0,545;0,269;8,7;17,7;3,7
Spud Webb;32;ATL;0,576;0,392;4,3;27,2;1,8
Reggie Williams;31;DEN;0,444;0,154;8,6;14,1;2,2
Randolph Keys;29;MIL;0,511;0,207;9,4;12;2,1
Danny Manning;29;PHO;0,506;0,281;10,1;13,9;2,4
Lionel Simmons;27;SAC;0,492;0,346;10,4;15,9;2
Tony Massenburg;28;PHI;0,535;0,39;13,4;2,6;1
Greg Foster;27;UTA;0,501;0,295;13,6;4,7;0,5
Stanley Roberts;25;LAC;0,491;0,438;12,2;8,4;1
Walt Williams;25;MIA;0,572;0,224;8,3;14,3;2,1
Charlie Ward;25;NYK;0,505;0,248;7,7;25,9;3,6
Eric Piatkowski;25;LAC;0,541;0,339;7,9;9,2;1,6
Kevin Willis;33;GSW;0,472;0,257;16,1;4;0,9
LaSalle Thompson;34;PHI;0,454;0,289;14,9;5,1;1,3
Ken Norman;31;ATL;0,517;0,176;10,1;13,8;1
Michael Curry;27;DET;0,569;0,384;6,5;5,6;1,7
Darrick Martin;24;MIN;0,482;0,32;3,5;32,9;1,8
Derek Strong;27;LAL;0,518;0,503;13,9;6;1,3
Jud Buechler;27;CHI;0,552;0,091;8,7;11,1;2,4
Richard Dumas;26;PHI;0,515;0,345;7,7;10,3;3
Gerald Wilkins;32;VAN;0,437;0,112;5,2;15,5;1,6
Bimbo Coles;27;GSW;0,486;0,174;4,6;26,3;2,2
Clifford Rozier;23;GSW;0,578;0,407;13,6;4,6;1,4
Scott Brooks;30;DAL;0,544;0,235;3;23,4;3
Corie Blount;27;LAL;0,491;0,263;13,8;8,3;1,8
Rumeal Robinson;29;POR;0,507;0,231;6,2;31;1,9
Jon Barry;26;GSW;0,638;0,2;5,1;18,5;2,4
David Wingate;32;SEA;0,485;0,193;4,8;12,9;1,5
Scott Burrell;25;CHH;0,57;0,272;8,6;10,5;2
Dickey Simpkins;23;CHI;0,533;0,606;13,3;7,7;0,7
Mark West;35;DET;0,514;0,357;11,8;1,4;0,5
Ed Pinckney;32;PHI;0,594;0,539;15;5,2;2,5
Randy Brown;27;CHI;0,436;0,24;5,7;15,1;4,5
J,R, Reid;27;NYK;0,594;0,344;11,7;6,7;1,4
Jamal Mashburn;23;DAL;0,478;0,347;7,6;13,2;1,1
Joe Kleine;34;PHO;0,456;0,148;11,5;9,7;1
Greg Ostertag;22;UTA;0,505;0,297;16,2;1,1;0,4
Tony Massenburg;28;TOR;0,541;0,332;15;4,4;1
Acie Earl;25;TOR;0,484;0,413;11,7;6,9;1,4
Bob McCann;31;WSB;0,507;0,484;12,9;5,3;1,6
Pete Chilcutt;27;HOU;0,525;0,145;13,6;6;1,5
Alton Lister;37;BOS;0,539;0,646;21,7;3,2;0,5
Spud Webb;32;MIN;0,522;0,279;3,7;38,2;2
